id,type,name,status,description,epic
1,TASK,FirstTask,NEW,test for first task,
2,TASK,SecondTask,NEW,test for second task,
3,TASK,ThirdTask,NEW,test for third task,
7,TASK,BlebaTask,NEW,test for new version of task,
9,TASK,BlebaTask,NEW,test for new version of task,
4,EPIC,EPIC,NEW,bleba,
5,SUBTASK,SubTask for epic with id 4,NEW,mega subtask,4
6,SUBTASK,SubTask 1 for epic with id 4,NEW,mega subtask,4
8,SUBTASK,SubTask 2 for epic with id 4,NEW,mega subtask,4
10,SUBTASK,SubTask 2 for epic with id 4,NEW,mega subtask,4

 4,1,2,
